Date,AAPL,BAX,CPB,ESS,FANG,HPE,LEG,MXIM,PNC,ZTS
20061229,3.03,25.4743,39.92,134.28,,,24.8,31.09,75.11,
20070103,3.042,26.3539,40.1,132.84,,,23.94,31.73,75.57,
20070104,3.0606,26.2437,39.04,132.79,,,24.14,32.65,77.02,
20070105,3.113,25.6765,39.35,131.13,,,24.19,32.45,75.6,
20070108,3.0829,26.4756,38.5,127.2,,,23.96,32.97,77.78,
20070109,3.4669,25.2428,38.63,132.66,,,24.57,33.6,77.03,
20070110,3.5723,26.5805,38.53,135.62,,,24.03,34.22,76.1,
20070111,3.5428,25.7952,39,134.85,,,24.19,33.51,77.28,
20070112,3.4488,26.9158,39.17,138.54,,,23.87,33.99,78.22,
20070116,3.5057,26.3128,36.8,142.13,,,23.91,33.19,78.03,
20070117,3.4657,26.7756,36,142.02,,,23.93,33.48,74.7,
20070118,3.2846,27.9597,39,142.7,,,24.25,32.35,76.7,
20070119,3.2081,27.4707,36.9,138.28,,,24.65,32.9,76.68,
20070122,3.2125,27.1497,36.6,141.96,,,24.35,31.74,76.06,
20070123,3.0774,27.321,37.2,141.67,,,25.22,32.42,74.19,
20070124,3.2223,27.3323,36.8,139.7,,,25.16,31.81,74.3,
20070125,3.1493,27.0186,36.6,144.3,,,24.24,32.7,76.21,
20070126,3.088,27.3997,36.7,145.12,,,24.5,31.8,76.1,
20070129,3.171,26.6971,35.7,146,,,24.02,32.26,75,
20070130,3.1415,27.2129,36,149.75,,,24.09,31.74,74.65,
20070131,3.0897,27.907,37.1,145.31,,,24.83,31.6,76.89,
20070201,3.0978,27.515,36,146.91,,,24.8,33,76.33,
20070202,3.1168,27.1303,35.7,147.06,,,25.14,33.1,77.06,
20070205,3.1044,27.358,35.9,150.21,,,25.05,33.68,74.53,
20070206,3.0614,27.8984,36.3,146.12,,,25.4,32.1,76.71,
20070207,3.1738,27.892,35.8,149.64,,,24.8,32.04,76.78,
20070208,3.1905,27.5488,36.5,146.5,,,25.04,31.74,74.6,
20070209,3.1211,27.9996,35.9,147,,,24.34,31.28,75.66,
20070212,3.0768,28.2532,37.2,146.4,,,24.5,30.68,77.46,
20070213,3.0585,27.5926,36.6,146.85,,,25.22,31.44,79.25,
20070214,3.0599,27.62,36.6,144,,,24.44,31.98,77.3,
20070215,3.0899,28.734,36.7,151.59,,,24.76,31,76.47,
20070216,3.1749,28.2334,37,148.29,,,24.82,32.34,76.16,
20070220,3.1586,27.5751,37.2,148.9,,,25.24,31.89,76.42,
20070221,3.189,27.6827,36.9,151.23,,,24.41,31.81,78.12,
20070222,3.2011,27.3644,36.9,147.7,,,24.45,34.42,78.2,
20070223,3.2886,27.2639,43.9,143.04,,,24.62,33.6,76.3,
20070226,3.2579,27.2969,36.4,143,,,24.94,33.41,77.13,
20070227,3.0782,27.339,35.7,137.21,,,24.38,32.1,74.45,
20070228,3.075,27.4222,36.6,143.48,,,24.29,33.07,75.59,
20070301,3.2398,27.6794,36.4,140.16,,,25,33.96,74.24,
20070302,3.1919,27.1515,36.7,133.8,,,25,32.32,73.81,
20070305,3.1977,26.629,37.3,132.37,,,24.43,32.82,73,
20070306,3.1872,27.6035,35.9,131.53,,,24.54,33.46,75.15,
20070307,3.2196,26.662,35.6,127.62,,,24.1,33.4,74.73,
20070308,3.2008,27.7796,35.9,128.18,,,24.79,32.66,74.45,
20070309,3.289,28.3721,35.9,135.48,,,23.92,33.62,72.22,
20070312,3.2116,27.6885,36.8,135.49,,,24.31,33.44,72.99,
20070313,3.2005,28.1025,35.7,132.83,,,23.71,32.7328,72.1,
20070314,3.319,28.0363,35.6,134.36,,,24.1,32.45,72.63,
20070315,3.2476,27.9787,41.18,132.34,,,23.78,33.3,70.48,
20070316,3.255,28.3839,36.6,134.42,,,24.03,33.4,70.3,
20070319,3.2624,29.6115,35.7,131.58,,,23.22,32.89,72.19,
20070320,3.3807,28.5498,36,137.73,,,23.76,32.71,72.26,
20070321,3.4863,28.8001,37.3,139.84,,,24.04,33.2,75.95,
20070322,3.47,29.4921,36.4,136.3,,,23.57,32.28,72.8,
20070323,3.44,28.7189,37.1,136.48,,,23.62,32.86,72.29,
20070326,3.4412,30.263,37,132.31,,,23.68,31.8,75.05,
20070327,3.4984,30.268,36.1,129.46,,,22.76,31.27,73.89,
20070328,3.48,29.9568,36.9,133,,,22.54,30.56,71.84,
20070329,3.3644,30.3234,35.9,129.21,,,23.29,31.18,75.26,
20070330,3.3399,29.6178,36.5,134.61,,,22.85,30.3,74.12,
20070402,3.4378,29.7004,38.85,132,,,22.6,30.25,74.12,
20070403,3.382,29.5553,39.19,136.89,,,23.37,30.6,71.88,
20070404,3.4988,29.4393,36.5,135.77,,,23.3,30.66,72.62,
20070405,3.4697,30.5125,35.7,135.95,,,24,30.7,76.39,
20070409,3.3843,29.666,37,130.5,,,23.94,29.35,72.76,
20070410,3.4987,31.1265,36.3,133.52,,,23.25,30.09,76.44,
20070411,3.3566,30.1962,36.6,131.13,,,23.37,29.87,73.4,
20070412,3.4403,30.0743,36.6,129.84,,,23.74,30.33,72.2,
20070413,3.2819,29.7761,35.4,132.97,,,24.09,30.16,73.3,
20070416,3.3629,29.4974,36.6,132.68,,,24.18,30.04,74.56,
20070417,3.3393,30.2563,36.1,129.37,,,23.55,29.3,76.01,
20070418,3.2734,29.9009,35.9,134.33,,,24.19,31.68,75.94,
20070419,3.317,30.9181,36.6,131.6,,,23.97,31.79,78.71,
20070420,3.289,30.4832,36.5,136.09,,,23.5,31.69,79.61,
20070423,3.3456,31.0073,36.4,136.51,,,23.85,32,77.42,
20070424,3.42,31.8526,35.5,131.29,,,24.1,33.66,75.42,
20070425,3.5474,31.8152,37,131.72,,,24.23,33.36,74.98,
20070426,3.58,31.599,35.7,134.93,,,24.81,33.34,76.04,
20070427,3.6445,32.2931,36.6,133.16,,,24.14,32.49,77.55,
20070430,3.5879,31.742,36.6,134.49,,,24.63,32.14,77.5,
20070501,3.574,31.9862,36.7,130.07,,,24,32.74,76.44,
20070502,3.708,32.5771,35.5,131.94,,,24.46,33.17,74.87,
20070503,3.6402,31.6593,36.2,130.88,,,24.6,32.8,76.35,
20070504,3.6108,32.7369,36.3,128,,,24.9,33.05,76.47,
20070507,3.7885,32.3549,37,127.8,,,24.09,33.5,76.4,
20070508,3.8673,32.696,36.2,128.4,,,24.1,33.27,78.59,
20070509,3.944,31.8669,35.9,130.93,,,24.9,33.01,77.02,
20070510,3.8901,32.4817,35.8,130.28,,,23.44,33.05,76.76,
20070511,4.0769,31.3878,36.9,131.73,,,24.12,33.36,76.08,
20070514,4.0421,32.84,35.9,128.94,,,24.13,32.55,75.5,
20070515,4.03,31.7649,37.1,129.82,,,24.8,32.34,76.37,
20070516,3.8336,32.62,36.9,124.22,,,23.92,33.49,77.35,
20070517,3.9946,31.3887,37,121.4,,,24.65,31.68,75.36,
20070518,4.0799,32.3033,36.2,120.81,,,24.58,32.76,76.59,
20070521,4.1156,32.7525,36.2,125.22,,,25.55,32.73,75.33,
20070522,4.16,31.0589,36,128.11,,,25.35,32.27,76.22,
20070523,4.0774,32.099,35.6,126.86,,,25.2,32.19,76.93,
20070524,4.1256,31.077,36.7,119.51,,,24.98,31.04,73.58,
20070525,4.0689,32.29,35.7,124.3,,,25.04,31.49,76.6,
20070529,4.2502,30.9079,35.8,130.33,,,25.63,30.9,75.7,
20070530,4.4251,31.159,36.3,130,,,24.94,30.76,77.74,
20070531,4.397,31.3163,36,130.07,,,24.99,31.42,75.7,
20070601,4.2913,32.1941,35.5,130,,,24.54,31.78,75.83,
20070604,4.4009,31.5103,35.9,129.3,,,24.62,31.87,75.2,
20070605,4.452,31.7848,35.9,128.23,,,25.09,31.2,73.67,
20070606,4.4792,31.6364,37,122.46,,,24,31.36,75.15,
20070607,4.542,30.8235,36.1,121.98,,,23.88,30.7,72.77,
20070608,4.6662,30.8615,36.9,121.55,,,24.86,32.99,73.79,
20070611,4.3884,30.4673,35.9,121.91,,,24.7,32.31,76.06,
20070612,4.3953,30.6886,37,118.96,,,24.02,31.21,74.94,
20070613,4.2618,31.1702,35.6,122.32,,,24.4,32.3,75.64,
20070614,4.2469,31.5511,35.6,122.4,,,24.18,32.36,75.2,
20070615,4.4929,32.8346,35.9,123.85,,,23.85,33.58,75.95,
20070618,4.4904,31.695,36.6,121.77,,,24,33.95,76.92,
